,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type,kfold
0,0.0,-0.7058823529411762,3.071428571428571,1.5555555555555558,-0.07407407407407413,-0.20833333333333334,0.10126582278481013,-0.14838709677420925,0.23809523809523728,-0.7647058823529412,1.0555555555555542,2.0,0.0,2
3,-0.5384615384615387,-0.05882352941176443,1.1428571428571426,1.3015873015873014,-0.2592592592592592,1.3333333333333333,0.8227848101265823,0.22150537634407869,-0.428571428571428,0.0,-0.44444444444444464,0.0,0.0,2
4,0.307692307692308,0.3529411764705882,-0.7857142857142856,1.7301587301587302,0.2592592592592592,1.4166666666666667,1.4050632911392404,0.858064516129011,-0.4761904761904767,-0.05882352941176476,-0.7777777777777777,0.0,0.0,3
6,0.3846153846153847,-0.11764705882352919,0.0,2.3333333333333335,0.148148148148148,0.16666666666666666,0.6962025316455697,0.8838709677419159,-0.5714285714285721,0.7647058823529412,-0.05555555555555632,-1.0,0.0,5
7,-0.153846153846154,-1.0588235294117645,-0.28571428571428553,0.8888888888888888,-0.1111111111111112,0.6666666666666666,-0.17721518987341772,-0.07526881720431597,-0.04761904761904661,-0.8235294117647061,-0.22222222222222232,0.0,0.0,1
8,1.5384615384615388,0.8823529411764707,1.2857142857142856,-0.09523809523809526,1.148148148148148,-0.125,0.0379746835443038,0.6258064516128906,0.09523809523809534,0.4117647058823527,-0.6111111111111116,-1.0,-1.0,2
9,0.07692307692307666,-0.35294117647058804,-0.07142857142857148,-0.06349206349206347,-0.48148148148148134,1.375,0.379746835443038,-0.7913978494623618,-0.8571428571428581,0.2941176470588238,0.5555555555555554,1.0,0.0,1
11,0.6153846153846153,-0.05882352941176443,-0.6428571428571428,-0.253968253968254,0.3333333333333333,-0.20833333333333334,0.1518987341772152,-0.10537634408604235,0.33333333333333265,-0.1764705882352943,-0.44444444444444464,-1.0,0.0,2
12,-0.6153846153846153,-0.47058823529411753,-0.21428571428571405,0.4285714285714286,-0.7037037037037036,0.6666666666666666,0.0379746835443038,-0.6903225806451648,0.0,3.3529411764705888,1.0277777777777772,1.0,0.0,5
14,-1.3846153846153846,1.1176470588235294,-1.9285714285714286,-0.2222222222222222,0.2592592592592592,-0.4166666666666667,-0.1518987341772152,-0.47096774193548496,1.571428571428572,0.6470588235294118,1.0555555555555542,1.0,-1.0,3
15,-0.3846153846153847,-0.05882352941176443,-0.28571428571428553,0.34920634920634924,-0.2592592592592592,0.625,0.7721518987341772,-0.019354838709684657,-0.09523809523809534,1.0588235294117645,-0.5,0.0,0.0,5
16,0.6923076923076926,2.352941176470588,-0.7142857142857143,-0.14285714285714285,1.222222222222222,0.16666666666666666,0.2911392405063291,0.2817204301075076,0.1904761904761907,0.0,-0.22222222222222232,-1.0,-1.0,5
19,-0.3846153846153847,-0.4117647058823528,1.357142857142857,2.126984126984127,0.03703703703703706,0.2916666666666667,0.810126582278481,0.8924731182795589,-0.9047619047619047,-0.11764705882352952,-0.833333333333333,0.0,0.0,5
20,-0.6153846153846153,-0.23529411764705868,1.642857142857143,0.6349206349206349,-0.03703703703703706,1.2083333333333333,0.7341772151898734,-0.07526881720431597,-0.09523809523809534,1.1176470588235292,0.05555555555555534,-1.0,0.0,1
21,-1.4615384615384621,0.3529411764705882,-0.35714285714285704,0.6031746031746031,-0.48148148148148134,0.2916666666666667,0.02531645569620253,-0.6473118279569979,0.8095238095238093,-0.6470588235294118,0.666666666666666,0.0,0.0,4
22,0.0,0.3529411764705882,-0.07142857142857148,0.5555555555555556,-0.7037037037037036,-0.08333333333333333,-0.3924050632911392,-0.27741935483871,0.9047619047619047,-0.5294117647058826,0.6111111111111107,1.0,0.0,5
24,0.23076923076923067,-0.23529411764705868,0.35714285714285704,1.6031746031746033,0.1111111111111112,0.25,1.0379746835443038,0.7978494623655821,-0.8095238095238093,-0.2941176470588235,-0.7777777777777777,1.0,0.0,4
26,0.46153846153846134,0.11764705882352951,-0.14285714285714296,1.1904761904761905,-0.2592592592592592,-0.3333333333333333,0.34177215189873417,0.36774193548386525,-0.8095238095238093,-0.9411764705882356,-0.5,-1.0,0.0,2
27,0.23076923076923067,-0.4117647058823528,0.7142857142857141,1.9682539682539684,0.1111111111111112,1.0833333333333333,0.9240506329113924,1.0989247311827743,0.5238095238095233,0.4705882352941175,-0.7777777777777777,0.0,0.0,2
28,0.6153846153846153,1.3529411764705883,-0.4285714285714285,-0.17460317460317462,1.2592592592592593,-0.625,-1.0126582278481013,0.7548387096773913,1.0476190476190488,0.8235294117647061,-0.7222222222222223,0.0,-1.0,2
29,0.6153846153846153,1.6470588235294115,-1.5714285714285714,-0.11111111111111115,0.6666666666666666,0.20833333333333334,-0.9240506329113924,-0.15483870967742952,1.1904761904761907,1.3529411764705883,1.333333333333332,2.0,-1.0,5
30,0.23076923076923067,1.764705882352941,-0.35714285714285704,-0.15873015873015872,1.222222222222222,-0.5,-0.17721518987341772,0.20430107526879282,0.33333333333333265,0.05882352941176476,-0.22222222222222232,-1.0,-1.0,4
31,-1.3846153846153846,0.411764705882353,-2.071428571428571,-0.2222222222222222,-0.5925925925925926,-0.20833333333333334,-0.17721518987341772,-1.1376344086021437,1.0952380952380953,-0.9411764705882356,1.0555555555555542,0.0,0.0,5
33,-0.153846153846154,-0.764705882352941,0.642857142857143,-0.11111111111111115,-0.3703703703703704,-0.4583333333333333,-0.20253164556962025,-0.5569892473118426,1.3333333333333348,-0.5294117647058826,0.6111111111111107,1.0,0.0,2
35,-0.7692307692307694,0.11764705882352951,0.5,0.2857142857142857,-0.2592592592592592,0.5,-0.21518987341772153,-1.1204301075268817,0.14285714285714407,0.2941176470588238,1.5555555555555542,0.0,0.0,3
36,0.153846153846154,1.5882352941176474,-0.35714285714285704,-0.15873015873015872,1.3333333333333333,-0.6666666666666666,-0.22784810126582278,0.20860215053761427,0.23809523809523728,0.05882352941176476,-0.22222222222222232,-1.0,-1.0,3
38,0.0,-0.7058823529411762,0.35714285714285704,0.5396825396825398,0.2962962962962963,0.5416666666666666,0.06329113924050633,-0.36774193548388917,-0.4761904761904767,-0.05882352941176476,0.38888888888888834,2.0,0.0,3
41,-0.153846153846154,2.8529411764705883,-2.214285714285714,0.0,2.0370370370370368,-0.875,-1.2025316455696202,0.3462365591397818,1.1428571428571441,0.2941176470588238,0.22222222222222135,-1.0,-1.0,4
42,-0.46153846153846134,-0.47058823529411753,-0.21428571428571405,0.4603174603174604,0.0,0.0,-0.21518987341772153,-0.45376344086022297,-0.28571428571428603,-0.6470588235294118,0.38888888888888834,0.0,0.0,5
43,0.3846153846153847,-0.35294117647058804,-0.14285714285714296,-0.06349206349206347,-0.5925925925925926,-0.20833333333333334,-0.25316455696202533,-0.6344086021505335,-1.0,0.1764705882352943,0.333333333333333,0.0,0.0,4
44,-0.07692307692307666,2.323529411764706,-2.214285714285714,-0.07936507936507936,2.148148148148148,-0.2916666666666667,-1.0253164556962024,0.36774193548386525,1.1904761904761907,0.3529411764705879,0.16666666666666602,0.0,-1.0,3
46,0.6153846153846153,-0.6470588235294117,0.0,1.4603174603174602,0.22222222222222213,0.7083333333333334,0.27848101265822783,0.6688172043010575,-0.714285714285714,0.11764705882352952,-0.7777777777777777,0.0,0.0,5
48,0.5384615384615387,-0.17647058823529393,-0.07142857142857148,-0.20634920634920637,0.44444444444444425,-0.375,-1.0126582278481013,0.0021505376343987953,0.3809523809523814,-0.23529411764705904,0.2777777777777777,0.0,-1.0,2
49,1.4615384615384621,0.058823529411764754,0.28571428571428553,0.2539682539682539,-0.5555555555555555,0.125,0.379746835443038,-0.06666666666667304,-0.28571428571428603,-0.35294117647058826,0.666666666666666,1.0,0.0,1
50,1.3076923076923073,2.352941176470588,-2.214285714285714,0.03174603174603177,1.3703703703703705,-0.6666666666666666,-1.0759493670886076,0.9268817204300829,0.714285714285714,-0.35294117647058826,-0.5,-1.0,-1.0,4
51,0.9230769230769227,-0.29411764705882343,0.21428571428571447,0.33333333333333326,0.5555555555555555,-0.875,-1.2151898734177216,0.539784946236533,0.04761904761904873,2.5294117647058822,0.333333333333333,0.0,-1.0,4
